team	game	location	start	end	url
F10/F11 Gul	Fryshuset Basket Vit - KFUM Central Basket	Vintervikens sph	2026-01-10 13:45	2026-01-10 15:30	https://www.profixio.com/app/leagueid17559/match/32405793
F10/F11 Gul	KFUM Central Basket - Skuru Basket Grön	Enskedehallen L	2026-01-18 13:30	2026-01-18 15:15	https://www.profixio.com/app/leagueid17559/match/32405800
F10/F11 Vinröd	Stockholm Nordväst - Central vinröd	BAS Barkarby	2026-01-24 14:00	2026-01-24 15:45	https://www.profixio.com/app/leagueid17559/match/32405587
F10/F11 Gul	KFUM Central Basket - AIK Gul	Gärdeshallen	2026-01-24 17:30	2026-01-24 19:15	https://www.profixio.com/app/leagueid17559/match/32405803
F10/F11 Gul	Tyresö Röd - KFUM Central Basket	Forellhallen	2026-01-31 14:00	2026-01-31 15:45	https://www.profixio.com/app/leagueid17559/match/32405810
F10/F11 Vinröd	Örebro  - Central vinröd	Enskedehallen L	2026-02-07 15:45	2026-02-07 17:30	https://www.profixio.com/app/leagueid17559/match/32405601
F10/F11 Vinröd	Sollentuna Basket - Central vinröd	Sollentuna Sporthall B	2026-02-08 15:30	2026-02-08 17:15	https://www.profixio.com/app/leagueid17559/match/32405605
F10/F11 Gul	KFUM Central Basket - Spånga Basket F11	Gärdeshallen	2026-02-14 13:30	2026-02-14 15:15	https://www.profixio.com/app/leagueid17559/match/32405812
F10/F11 Gul	AIK Gul - KFUM Central Basket	Vasalundshallen	2026-02-15 11:45	2026-02-15 13:30	https://www.profixio.com/app/leagueid17559/match/32405816
F10/F11 Gul	Duvbo Vit - Central gul	Löthallen	2026-03-07 17:00	2026-03-07 18:45	https://www.profixio.com/app/leagueid17559/match/32566983
F10/F11 Gul	Central gul - AIK Gul	Tellusborgshallarna 2	2026-03-14 13:45	2026-03-14 15:30	https://www.profixio.com/app/leagueid17559/match/32566993
F10/F11 Gul	Hammarby Vit - Central gul	Hagsätrahallen	2026-03-21 14:00	2026-03-21 15:45	https://www.profixio.com/app/leagueid17559/match/32567009
F10/F11 Gul	Central gul - Vallentuna	Gärdeshallen	2026-03-28 10:30	2026-03-28 12:15	https://www.profixio.com/app/leagueid17559/match/32580935
F10/F11 Vinröd	Central vinröd - Sigtuna Basket FU16	Gärdeshallen	2026-03-28 17:45	2026-03-28 19:30	https://www.profixio.com/app/leagueid17559/match/32583717
F10/F11 Gul	Hammarby Vit - Central gul	Farstahallen 4 (Farsta IP)	2026-04-19 15:00	2026-04-19 16:45	https://www.profixio.com/app/leagueid17559/match/32580950
F10/F11 Vinröd	Central vinröd - Duvbo Röd	Hjorthagshallen	2026-04-20 19:15	2026-04-20 21:00	https://www.profixio.com/app/leagueid17559/match/32578171
F10/F11 Gul	Central gul - Sollentuna Basket	Vintervikens sph	2026-05-09 17:00	2026-05-09 18:45	https://www.profixio.com/app/leagueid17559/match/32580954
F10/F11 Vinröd	GU16: match against TNT Towers BK	Mölnlycke Idrottshall B - Idrottsgatan 2, 435 35 Mölnlycke, 435 35, Mölnlycke	2026-05-14 09:00	2026-05-14 09:45	
F10/F11 Vinröd	GU16: match against Haga Haninge	Mölnlycke Idrottshall B - Idrottsgatan 2, 435 35 Mölnlycke, 435 35, Mölnlycke	2026-05-14 12:00	2026-05-14 12:45	
F10/F11 Vit	GU16: match against Köping Stars	Lundbystrand 2 - Anders Carlssons Gata, 41755, Göteborg	2026-05-14 14:15	2026-05-14 15:00	
F10/F11 Vit	GU16: match against Högsbo Basket	Lundbystrand 2 - Anders Carlssons Gata, 41755, Göteborg	2026-05-14 18:45	2026-05-14 19:30	
F10/F11 Vit	GU16: match against KFUM Tigers Helsingborg Blaze	Lundbystrand 2 - Anders Carlssons Gata, 41755, Göteborg	2026-05-15 14:15	2026-05-15 15:00	
F10/F11 Vinröd	GU16: match against Tyresö Basket	Mölnlycke Idrottshall B - Idrottsgatan 2, 435 35 Mölnlycke, 435 35, Mölnlycke	2026-05-15 15:45	2026-05-15 16:30	
F10/F11 Vinröd	GU16: match against Eastside Basketklubb Eagles	Mölnlycke Idrottshall B - Idrottsgatan 2, 435 35 Mölnlycke, 435 35, Mölnlycke	2026-05-15 21:00	2026-05-15 21:45	
